ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
1,Marks,Shenzhen,male,166,77,100,84,71,91,6,7,6,8,,general
2,Wayne,Shenzhen,female,159,77,78,89,59,93,10,6,5,9,,good
3,Bonnie,Guangzhou,female,157,80,81,81,54,91,9,6,7,8,,good
4,Grace,Guangzhou,male,168,82,62,81,61,89,9,7,8,5,,general
5,Hayden,Shanghai,male,168,85,82,91,60,92,9,10,9,8,,excellent
6,Chelsea,Guangzhou,female,163,79,74,82,74,89,10,10,8,9,,general
7,Dylan,Shenzhen,female,154,83,76,85,75,93,7,7,10,9,,general
8,Yolanda,Shanghai,male,174,82,69,80,67,90,9,7,10,8,,general
10,Benson,Guangzhou,female,161,77,91,84,65,91,5,9,7,5,,
11,Franklin,Guangzhou,male,161,83,79,75,78,92,7,6,7,7,,good
12,Phyllis,Shenzhen,female,161,80,79,91,59,93,10,9,8,9,,general
13,Donald,Beijing,male,163,82,73,83,70,89,10,6,10,4,,general
14,Joy,Guangzhou,male,161,80,91,85,65,89,10,6,8,5,,good
15,Josephine,Shanghai,male,175,77,70,86,86,89,10,9,8,7,,excellent
16,Rebecca,Guangzhou,female,160,81,79,85,59,86,10,10,8,8,,general
17,Dolores,Shanghai,male,168,82,86,86,75,87,9,5,10,9,,general
18,Sierra,Shanghai,male,161,77,93,79,79,89,5,8,10,10,,good
19,Stanley,Guangzhou,female,163,83,83,89,70,89,8,6,6,6,,bad
20,Hank,Beijing,male,177,75,60,87,66,88,9,6,10,5,,general
21,Adelaide,Beijing,female,147,83,82,87,71,89,5,10,10,7,,good
22,Megan,Shenzhen,female,160,76,78,87,68,86,7,10,10,6,,general
23,Duke,Shanghai,male,167,75,66,86,71,90,6,6,10,8,,bad
24,Teresa,Shenzhen,male,163,79,59,83,69,93,7,10,9,6,,general
25,Victoria,Shenzhen,female,153,81,84,91,63,91,9,8,9,8,,general
26,Donna,Shenzhen,male,166,74,84,85,69,91,5,6,10,5,,good
27,Angelina,Beijing,male,164,79,54,86,70,89,5,8,10,9,,good
28,Jeffery,Shanghai,male,171,81,81,88,65,89,6,8,6,4,,good
29,June,Shenzhen,male,166,81,67,87,75,92,7,8,8,7,,general
30,Mary,Shenzhen,female,154,90,91,90,77,91,10,7,7,6,,general
31,Editha,Guangzhou,female,160,86,88,83,72,92,8,10,7,5,,good
32,Howard,Shenzhen,female,161,80,79,79,,90,9,10,10,5,,good
33,Pamela,Shanghai,male,167,84,74,84,66,93,10,5,7,6,,general
34,Selina,Shanghai,female,161,81,91,81,68,91,9,9,9,9,,good
35,Alicia,Shenzhen,male,163,77,65,79,73,91,10,8,6,5,,
36,Mickey,Guangzhou,female,152,83,83,86,55,91,7,9,10,7,,general
37,Christian,Guangzhou,female,169,74,75,86,60,91,7,8,6,10,,excellent
38,Leopold,Beijing,male,170,85,82,90,62,91,9,8,8,6,,good
39,Claudia,Shanghai,female,165,77,79,84,85,89,9,7,10,7,,general
40,Manda,Beijing,female,163,78,81,91,58,88,8,10,7,8,,general
41,Tiffany,Beijing,female,155,83,83,91,77,89,10,8,10,6,,general
42,Angelia,Shanghai,male,174,82,89,86,55,89,7,7,6,8,,excellent
43,Nikita,Shanghai,female,161,80,80,82,71,91,6,8,5,7,,excellent
43,Wanda,Shenzhen,female,159,81,64,82,67,92,9,7,9,8,,good
45,Cosmo,Beijing,female,162,85,73,90,73,91,8,7,8,10,,excellent
46,Isaac,Shanghai,female,155,83,76,87,80,85,8,6,7,4,,good
47,Constance,Shanghai,male,167,77,76,89,63,90,10,6,6,6,,excellent
48,Leslie,Beijing,female,157,81,78,85,79,91,10,6,10,8,,general
49,Lucy,Beijing,male,168,80,94,82,63,90,6,6,10,7,,bad
50,Zelda,Shanghai,female,160,84,76,83,66,90,10,7,10,6,,good
51,Ethan,Beijing,male,165,78,86,88,65,93,5,10,8,6,,general
52,Sally,Guangzhou,male,177,81,93,83,69,88,9,8,6,8,,good
53,Joliet,Guangzhou,female,155,80,79,88,60,87,6,8,8,7,,general
54,John,Shenzhen,male,166,81,68,84,60,87,5,6,9,4,,excellent
56,Hugo,Guangzhou,male,165,80,73,89,76,91,6,10,9,6,,good
57,Amy,Beijing,female,164,84,79,89,56,90,8,10,9,9,,general
58,Martha,Guangzhou,male,162,76,82,78,75,91,10,6,10,8,,good
59,Nicholas,Guangzhou,male,163,80,74,86,74,89,8,8,10,8,,excellent
60,Todd,Guangzhou,male,172,76,80,84,66,87,7,9,9,10,,good
61,Marcy,Guangzhou,male,166,77,86,88,78,87,9,6,9,9,,general
62,Winnie,Beijing,male,171,81,84,86,70,90,6,7,10,8,,general
63,Adeline,Shenzhen,male,163,80,84,87,70,92,10,10,6,6,,general
64,Timothy,Beijing,male,169,83,87,86,77,94,9,6,10,7,,good
65,Olivia,Shenzhen,female,169,81,70,88,71,89,7,9,10,8,,excellent
66,Geoffrey,Shanghai,female,165,80,86,81,67,88,10,6,7,5,,bad
67,Maxine,Beijing,male,166,86,79,83,77,90,6,6,10,6,,good
68,Lorraine,Shenzhen,male,162,85,80,73,69,89,10,5,10,7,,good
69,Eva,Shenzhen,female,155,72,92,84,66,92,9,7,10,6,,general
70,Tina,Beijing,male,173,74,91,80,78,85,9,7,9,10,,general
71,Phoebe,Shanghai,male,170,78,85,91,68,87,9,6,8,9,,general
72,Karida,Guangzhou,female,149,77,89,82,65,92,10,8,7,9,,general
73,Juliana,Guangzhou,female,151,83,71,80,66,87,10,10,6,6,,good
74,Charlotte,Beijing,female,160,75,78,81,69,92,9,5,10,5,,good
75,Demi,Shenzhen,female,164,84,67,82,74,92,9,7,5,7,,general
76,David,Guangzhou,male,165,79,84,86,72,93,10,8,9,8,,good
77,Melissa,Shenzhen,female,159,77,87,85,70,91,5,10,9,9,,general
78,Sheila,Beijing,female,161,79,68,82,83,92,10,6,6,10,,good
79,Henry,Shenzhen,male,176,81,88,76,88,92,9,9,9,9,,general
80,Ivy,Beijing,female,153,80,87,84,74,88,6,8,9,8,,good
81,Deborah,Shenzhen,male,165,76,95,84,65,93,10,6,6,6,,good
82,Caspar,Guangzhou,female,166,71,85,82,61,,8,10,6,7,,general
83,Susan,Shenzhen,male,163,79,69,87,43,89,7,7,9,10,,general
84,Ishara,Shenzhen,male,175,80,74,86,84,89,6,9,9,5,,general
85,lindsay,Beijing,female,155,76,63,83,56,89,6,10,8,5,,general
86,Noah,Guangzhou,female,159,82,90,88,73,87,8,9,10,5,,good
87,Dick,Guangzhou,male,174,83,84,81,65,88,5,10,10,10,,bad
88,Marshal,Guangzhou,male,181,71,73,86,73,88,10,10,8,7,,good
89,Harrison,Shenzhen,male,164,82,94,84,78,92,7,7,10,9,,general
90,Vera,Beijing,male,172,74,84,76,84,91,10,6,7,8,,good
91,Monica,Shanghai,male,172,85,82,81,76,88,10,10,6,6,,general
92,Roy,Shanghai,female,161,77,87,87,72,89,7,10,7,8,,bad
93,Owen,Beijing,female,156,76,94,96,72,92,6,6,8,4,,general
94,Glendon,Guangzhou,female,168,81,56,84,61,84,6,10,10,8,,good
95,Britney,Guangzhou,female,166,78,84,91,72,91,5,10,9,10,,bad
96,Miranda,Shenzhen,male,172,72,77,78,77,91,9,10,10,6,,good
97,Andrew,Shanghai,male,168,76,71,83,75,93,10,7,10,4,,bad
98,Elijah,Shenzhen,female,160,67,77,87,62,91,6,10,8,9,,excellent
99,Alexander,Beijing,male,169,88,77,83,75,88,7,6,9,8,,excellent
100,Octavia,Shenzhen,female,164,77,61,84,91,93,7,9,6,8,,general
101,Jonathan,Shanghai,male,163,80,78,91,64,88,9,8,7,5,,excellent
102,Violet,Shenzhen,female,163,76,78,93,78,92,10,9,10,10,,good
104,Mia,Guangzhou,female,163,85,78,76,68,91,10,7,6,10,,general
105,Frederica,Guangzhou,male,167,80,97,86,52,89,6,6,9,5,,good
106,Carry,Shenzhen,female,167,76,72,83,59,92,8,5,5,9,,good
107,Tamara,Shanghai,female,156,81,74,79,68,87,10,6,8,8,,bad
108,Robert,Guangzhou,male,166,82,79,82,65,89,7,9,9,7,,general
109,Edmund,Shanghai,female,159,82,78,97,66,91,7,10,8,8,,general
